datetime,I_sg,CH14,CH15,T_0,T_270,T_90,T_180,I_aps,mf,CH7,CH8,pw,elapsed_time,Isg,eta,T_0_smooth,T_0_dTdt,T_90_smooth,T_90_dTdt,T_180_smooth,T_180_dTdt,T_270_smooth,T_270_dTdt
2025/10/25 10:09,10,24.1,0.4043,27.1,27.4,27.9,27.1,-0.9677,23.0423287,4.88,0.172,1.890946559,73,3.294649514,3.03522422,27.10670997,0.019768139,27.92751234,0.023872706,27.17360986,0.01896977,27.45113156,0.020388802
2025/10/25 10:09,10,24.1,0.4013,27.1,27.4,27.9,27.1,-0.9654,22.80958627,4.88,0.173,1.890655221,74,3.273947317,3.054416895,27.12646475,0.019741428,27.95136416,0.023830941,27.19256086,0.018932248,27.47150508,0.020358254
2025/10/25 10:09,10.01,24.1,0.4024,27.1,27.4,27.9,27.1,-0.9691,22.89481794,4.88,0.171,1.891237792,75,3.283040853,3.049002571,27.14619284,0.019714767,27.97517426,0.023789279,27.2114744,0.018894841,27.49184809,0.020327775
2025/10/25 10:09,10.01,24.1,0.4046,27.2,27.4,27.9,27.2,-0.9671,23.06565373,4.87,0.172,1.88468715,76,3.287342652,3.045012662,27.1658943,0.019688158,27.99894275,0.023747721,27.23035058,0.018857548,27.51216065,0.020297366
2025/10/25 10:09,10.02,24.1,0.4024,27.2,27.5,27.9,27.1,-0.9684,22.89481794,4.88,0.174,1.890363777,77,3.281857708,3.053148823,27.18556917,0.019661599,28.02266973,0.023706266,27.24918953,0.01882037,27.53244284,0.020267026
2025/10/25 10:09,10,24.1,0.4028,27.1,27.5,27.9,27.1,-0.9661,22.92584205,4.88,0.171,1.891237792,78,3.2857006,3.043490938,27.20521751,0.019635091,28.04635532,0.023664914,27.26799136,0.018783306,27.55269473,0.020236754
2025/10/25 10:09,10,24.1,0.4024,27.2,27.5,28,27.2,-0.9667,22.89481794,4.88,0.172,1.890946559,79,3.282646614,3.046322427,27.22483937,0.019608633,28.0699996,0.023623666,27.28675618,0.018746357,27.57291637,0.020206552
2025/10/25 10:09,10,24.1,0.4024,27.1,27.5,27.9,27.1,-0.9667,22.89481794,4.88,0.171,1.891237792,80,3.283040853,3.045956614,27.2444348,0.019582227,28.09360268,0.023582521,27.30548411,0.018709522,27.59310785,0.02017642
2025/10/25 10:09,10,24.1,0.4001,27.2,27.5,27.9,27.2,-0.9664,22.71674786,4.88,0.171,1.891237792,81,3.265625326,3.062200651,27.26400384,0.019555871,28.11716467,0.023541479,27.32417526,0.018672801,27.61326924,0.020146356
2025/10/25 10:09,10,24.1,0.4046,27.2,27.5,28,27.2,-0.9671,23.06565373,4.88,0.17,1.891528919,82,3.297246356,3.032833741,27.28354656,0.019529566,28.14068567,0.023500541,27.34282975,0.018636195,27.63340059,0.020116362
2025/10/25 10:09,10,24.1,0.4046,27.2,27.6,28,27.3,-0.9674,23.06565373,4.88,0.173,1.890655221,83,3.295983915,3.033995389,27.30306299,0.019503312,28.16416579,0.023459705,27.36144769,0.018599703,27.65350198,0.020086437
2025/10/25 10:09,10.01,24.1,0.4024,27.3,27.7,28.2,27.4,-0.9684,22.89481794,4.88,0.173,1.890655221,84,3.282252233,3.049735148,27.3225532,0.019477109,28.18760512,0.023418973,27.3800292,0.018563326,27.67357349,0.020056581
2025/10/25 10:09,10.01,24.1,0.4024,27.3,27.7,28.1,27.3,-0.9681,22.89481794,4.88,0.172,1.890946559,85,3.282646614,3.049368749,27.34201723,0.019450956,28.21100377,0.023378345,27.39857438,0.018527063,27.69361517,0.020026794
2025/10/25 10:09,9.99,24.1,0.4005,27.4,27.7,28.1,27.4,-0.9687,22.74767758,4.88,0.175,1.890072228,86,3.267094307,3.057762972,27.36145513,0.019424854,28.23436184,0.023337819,27.41708336,0.018490915,27.7136271,0.019997076
2025/10/25 10:09,10,24.1,0.4031,27.4,27.7,28.2,27.4,-0.9661,22.94912091,4.87,0.171,1.884978383,87,3.278832706,3.049865881,27.38086695,0.019398804,28.25767944,0.023297397,27.43555625,0.018454881,27.73360934,0.019967428
2025/10/25 10:09,10,24.1,0.4043,27.4,27.7,28.2,27.4,-0.9661,23.0423287,4.88,0.174,1.890363777,88,3.293808245,3.035999444,27.40025275,0.019372804,28.28095667,0.023257079,27.45399316,0.018418962,27.75356197,0.019937849
2025/10/25 10:09,9.99,24.1,0.4005,27.4,27.7,28.2,27.4,-0.9667,22.74767758,4.87,0.174,1.884104368,89,3.25905068,3.065309803,27.41961258,0.019346854,28.30419364,0.023216863,27.47239421,0.018383157,27.77348506,0.019908339
2025/10/25 10:09,10,24.1,0.4028,27.4,27.8,28.2,27.4,-0.9664,22.92584205,4.87,0.171,1.884978383,90,3.276997515,3.051573873,27.43894648,0.019320956,28.32739043,0.023176751,27.49075951,0.018347466,27.79337868,0.019878898
2025/10/25 10:09,10,24.1,0.4024,27.4,27.8,28.2,27.4,-0.9671,22.89481794,4.87,0.173,1.884395812,91,3.273661165,3.054683883,27.4582545,0.019295108,28.35054717,0.023136742,27.50908918,0.01831189,27.81324288,0.019849526
2025/10/25 10:09,9.99,24.1,0.4035,27.4,27.8,28.2,27.4,-0.9641,22.98017376,4.87,0.171,1.884978383,92,3.28128076,3.044542887,27.47753671,0.019269311,28.37366395,0.023096837,27.52738333,0.018276428,27.83307775,0.019820224
2025/10/25 10:09,10,24.1,0.4031,27.4,27.8,28.2,27.5,-0.9664,22.94912091,4.87,0.174,1.884104368,93,3.277600438,3.051012528,27.49679314,0.019243565,28.39674088,0.023057034,27.54564208,0.018241081,27.85288335,0.019790991
2025/10/25 10:09,10,24.1,0.4024,27.4,27.8,28.3,27.5,-0.9651,22.89481794,4.87,0.174,1.884104368,94,3.273260516,3.055057779,27.51602386,0.01921787,28.41977806,0.023017335,27.56386553,0.018205849,27.87265976,0.019761827
2025/10/25 10:09,10,24.1,0.4024,27.5,27.8,28.3,27.5,-0.9654,22.89481794,4.87,0.172,1.88468715,95,3.274061669,3.054310215,27.5352289,0.019192226,28.44277558,0.02297774,27.58205381,0.01817073,27.89240703,0.019732732
2025/10/25 10:09,10,24.2,0.4043,27.5,27.9,28.4,27.5,-0.9657,23.02271782,4.87,0.171,1.884978383,96,3.284546439,3.044560393,27.55440833,0.019166632,28.46573357,0.022938247,27.60020703,0.018135726,27.91212524,0.019703707
2025/10/25 10:09,10,24.2,0.4005,27.5,27.9,28.4,27.5,-0.9651,22.72834579,4.87,0.174,1.884104368,97,3.25716107,3.070158271,27.57356218,0.019141089,28.48865211,0.022898858,27.6183253,0.018100837,27.93181447,0.01967475
2025/10/25 10:09,10.02,24.1,0.4001,27.5,27.9,28.4,27.5,-0.9657,22.71674786,4.87,0.174,1.884104368,98,3.256027416,3.077369666,27.59269052,0.019115597,28.51153132,0.022859572,27.63640874,0.018066062,27.95147477,0.019645863
2025/10/25 10:09,10,24.2,0.4043,27.5,27.9,28.4,27.5,-0.9671,23.02271782,4.87,0.171,1.884978383,99,3.284546439,3.044560393,27.61179339,0.019090156,28.53437129,0.02282039,27.65445746,0.018031402,27.97110622,0.019617045
